ID,Имплант,VF89JN
927451,Милитех броня подкожная v.2,N17YHL
927451,Баллистический сопроцессор v.1,JCET3V
927451,Киберзащита Gen 1,NTWEPS
927451,Интралёд,JPNKYH
927451,Усиленная мускулатура v.1,K7AXTE
720584,Милитех броня подкожная v.2,Y59S7F
720584,Киберзащита Gen 2,8V6P35
720584,Киберзащита Gen 1,WKARTL
720584,Интралёд,96LC4W
720584,Усиленная мускулатура v.1,HV2XT2
391226,Милитех броня подкожная v.2,EI131Y
391226,Баллистический сопроцессор v.1,9QSUHU
391226,Киберзащита Gen 1,HNVWT5
391226,Интралёд,MAH3LH
391226,Усиленная мускулатура v.1,JT586P
802622,Милитех броня подкожная v.2,55RYIG
802622,Баллистический сопроцессор v.1,4B7WMN
802622,Киберзащита Gen 1,E8VU9S
802622,Интралёд,YKRS7E
476681,Кибердека Зетатех D2,3N24TU
476681,Киберзащита Gen 2,X1WUH1
476681,Интралёд,XNDQJR
476681,Милитех броня подкожная v.2,RH4DWF
279161,Оптический камуфляж ,JC3SMJ
279161,Антитокс,UK3D5E
279161,Киберзащита Gen 2,KJLAIP
997916,Кибердека Зетатех D2,9QHLXI
997916,Киберзащита Gen 2,VFDDH6
997916,Kиберрука AR109,THZUAZ
997916,Интралёд,JM1GTU
997916,Порт кибермодема,VV7PBM
347735,Kиберрука AR109,GQKKSJ
347735,Киберзащита Gen 1,QVD473
347735,Баллистический сопроцессор v.1,R875LN
347735,Милитех броня подкожная v.2,CCGG6E
347735,Усиленная мускулатура v.1,R7WMQ6
515289,Арасака броня подкожная,69H6B8
515289,Оптический камуфляж,JK1V9L
515289,Киберзащита Gen 2,7G1JYY
515289,Антитокс,WU54N7
461105,Усиленная мускулатура v.2,LJ1PG9
461105,Арасака броня подкожная,7NIVDJ
461105,Баллистический сопроцессор v.2,W7JXK4
461105,Kиберрука AR109,LHFNYX
461105,Киберзащита Gen 2,U9JDQY
461105,Интралёд,VIC2DM
461105,Антитокс,136SHL
461105,Чип памяти,LQFT6N
361819,Милитех броня подкожная v.2,MNV5GK
361819,Антитокс,WW6996
361819,Интралёд,EGB7Y7
361819,Киберзащита Gen 3,2YCGQL
653029,Оптический камуфляж,L858FQ
653029,Киберзащита Gen 2,4G5XK4
653029,Интралёд,X6CF46
653029,Антитокс,BP7X4I
603737,Милитех броня подкожная v.2,TSXQTH
603737,Баллистический сопроцессор v.1,TTUHDT
603737,Киберзащита Gen 1,9NSILG
358413,Милитех броня подкожная v.2,9HB4RW
358413,Керензиков v.1,TCF8ZH
424642,Баллистический сопроцессор v.1,GXMUDZ
424642,Милитех броня подкожная v.2,YMAGAH
428602,Милитех броня подкожная v.2,2NVKHT
428602,Чип памяти,R977VJ
428602,Киберзащита Gen 1,BFP3KZ
983366,Kиберрука AR109,UHLT8H
983366,Киберзащита Gen 1,463NEJ
983366,Чип памяти,8Q1TQ6
429135,Киберзащита Gen 2,LS56V5
429135,Арасака броня подкожная,KU63K6
429135,Берсерк,IGTLLL
429135,Антитокс,25G2T9
429135,Спаситель,UZSD2T
732294,Киберзащита Gen 1,BZR8XL
732294,Милитех броня подкожная v.2,XLERD5
732294,Регенератор,EIVG8F
732294,Антитокс,HGKRL9
436687,Kиберрука AR109,T8AU98
436687,Милитех броня подкожная v.2,GVQJE6
436687,Киберзащита Gen 1,98Y544
436687,Берсерк,9LPWGG
956551,Киберзащита Gen 1,NSY764
956551,Милитех броня подкожная v.1,Y2Y975
956551,Регенератор,8GSYNE
956551,Чип памяти,3K6QUI
769335,Баллистический сопроцессор v.1,YIIF94
769335,Милитех броня подкожная v.2,B1L1XT
741604,Интралёд,T1JS8H
741604,Милитех броня подкожная v.2,39XPYD
741604,Чип памяти,IKUQHR
257597,Керензиков v.1,CGMNI5
257597,Милитех броня подкожная v.2,5KZLSE
257597,Порт кибермодема,G1DC38
360026,Киберрука AR04,IVB1GH
360026,Антитокс,22Z2E4
360026,Киберзащита Gen 1,VKLXIY
997603,Регенератор,WRNZ7K
997603,Киберзащита Gen 2,UZ3TK7
997603,Интралёд,QQW7JM
997603,Чип памяти,IHQQ74
697329,Моноструна,9BHINJ
697329,Киберзащита Gen 1,TCIQ4R
697329,Интралёд,BI56JG
481354,Кибердека Зетатех D2,4K2VB8
481354,Киберзащита Gen 2,7DS67R
481354,Чип памяти,EVZTJC
481354,Интралёд,KYEQNB
481354,Порт кибермодема,P3PVCM
887283,Кибердека Зетатех D2,U9IY6B
887283,Киберзащита Gen 2,7337UY
887283,Чип памяти,MPDXAM
887283,Интралёд,YRKEHY
887283,Порт кибермодема,N9LIP6
957304,Регенератор,YKNDEF
957304,Порт кибермодема,P26LNL
957304,Киберзащита Gen 1,YWA9AT
865646,Милитех броня подкожная v.2,2U1197
865646,Регенератор,BRI28U
865646,Чип памяти,6XQTJP
865646,Порт кибермодема,WQTE28
229021,Киберрука AR04,GAIGRB
229021,Милитех броня подкожная v.2,G967FD
510506,Порт кибермодема,XXF57P
510506,Чип памяти,F28N63
510506,Интралёд,44QH23
592183,Кибердека Зетатех D2,IX3S7X
592183,Порт кибермодема,PCRGIH
186413,Киберзащита Gen 1,J6U82L
186413,Чип памяти,6ZPQSY
186413,Интралёд,U3S44Z
152772,Kиберрука AR109,U2V657
152772,Kиберрука AR109,C36J6K
152772,Порт кибермодема,119SS4
463398,Кибердека Зетатех D2,VBXCPQ
463398,Порт кибермодема,B78VK1
463398,Киберзащита Gen 1,4Z8SK7
843109,Порт кибермодема,L1742H
843109,Чип памяти,H6IMNY
843109,Киберзащита Gen 1,R2Q7E9
320218,Регенератор,T4J9IC
320218,Киберзащита Gen 1,3PXKRK
320218,Милитех броня подкожная v.1,VTZ3QL
130673,Кибердека Зетатех D2,653RSL
130673,Милитех броня подкожная v.2,Z5D3H5
130673,Порт кибермодема,ZGGUUL
130673,Интралёд,2FVEX3
476584,Милитех броня подкожная v.1,V43YAY
476584,Порт кибермодема,K1ZI55
476584,Регенератор,4PY5UN
625228,Регенератор,US4I9L
625228,Киберзащита Gen 1,YGI45F
625228,Милитех броня подкожная v.1,YP49RH
837094,Порт кибермодема,ZX1PB1
837094,Киберзащита Gen 1,99DBZ1
837094,Регенератор,U1UEF9
837094, Берсерк,GALJT1
389665,Интралёд,6XFQSJ
389665,Милитех броня подкожная v.2,1KTA76
389665,Порт кибермодема,6QUS1R
389665,Оптический камуфляж,IQIMFY
389665,Спаситель,JTCB6F
389665,Усиленная мускулатура v.1,5XQ3RP
915465,Оптический камуфляж,F9IKRK
915465,Киберзащита Gen 1,5CL8IT
915465,Регенератор,81MIGC
479361,Регенератор,GKCXEE
479361,Порт кибермодема,HZFL66
479361,Антитокс,VHD1ZP
479361,Чип памяти,BZQP47
678132,Регенератор,JD43ZZ
678132,Киберзащита Gen 1,PU4XKY
678132,Чип памяти,L2PKA7
684221,Чип памяти,PED6R8
684221,Интралёд,UKRKKC
684221,Регенератор,JP9YE7
684221,Оптический камуфляж,1H5B64
165573,Регенератор,GGDZF8
165573,Киберзащита Gen 1,3ZUBA2
165573,Милитех броня подкожная v.1,KC9A47
619077,Регенератор,C3H9KN
619077,Киберзащита Gen 2,F6TEMS
619077,Интралёд,P1GSQN
619077,Чип памяти,V2RWR9
329833,Киберзащита Gen 1,3LUXB5
329833,Чип памяти,G62F9F
308217,Чип памяти,1APXQB
308217,Интралёд,28IR79
308217,Кибердека EBM PNI 210,9NSMWX
308217,Порт кибермодема,H1MD44
923088,Милитех броня подкожная v.2,64GMM6
923088,Баллистический сопроцессор v.2,5CQIG7
923088,Усиленная мускулатура v.1,K4PSPJ
923088,Киберзащита Gen 2,KUNL4D
923088,Интралёд,BNGDRY
923088,Антитокс,LNNVLW
321143,Арасака броня подкожная,7SHUKV
321143,Баллистический сопроцессор v.2,K8VL6D
321143,Усиленная мускулатура v.1,Y46WLK
321143,Киберзащита Gen 2,5EF7IB
321143,Интралёд,IME7LN
321143,Антитокс,K8E4X5
932933,Арасака броня подкожная,QLAUC9
932933,Баллистический сопроцессор v.2,UERZ61
932933,Усиленная мускулатура v.1,56VFZM
932933,Киберзащита Gen 2,7IERR7
932933,Интралёд,77T7HD
932933,Антитокс,Y92THH
683106,Арасака броня подкожная,3AP1KB
683106,Баллистический сопроцессор v.2,2W967X
683106,Усиленная мускулатура v.1,L2BM1J
683106,Киберзащита Gen 2,MNLGZQ
683106,Интралёд,KKCXVB
683106,Антитокс,6AAJIL
443476,Порт кибермодема,H7VD3W
443476,Киберзащита Gen 2,GD7DZU
443476,Милитех броня подкожная v.2,KWJ335
443476,Интралёд,Y473N4
694388,Регенератор,9MBEGR
694388,Киберзащита Gen 1,LLQASN
694388,Милитех броня подкожная v.1,3U5EPQ
998779,Регенератор,FWYWNQ
998779,Киберзащита Gen 1,TR2YMX
998779,Милитех броня подкожная v.1,8F14ZY
152721,Регенератор,11PDCX
152721,Киберзащита Gen 1,K8VGV8
152721,Милитех броня подкожная v.1,4IDVI8
521770,Регенератор,R9FVNG
521770,Киберзащита Gen 1,9EN34B
521770,Милитех броня подкожная v.1,K1AIMA
150786,Интралёд,HUBKNJ
150786,Киберзащита Gen 1,X4DWK7
150786,Порт кибермодема,54P5RX
